Dates,Open rates,Max Rates,Min Rates
25-05-2017,"11,6000","11,6000","11,2100"
26-05-2017,"11,5000","11,5000","11,3000"
29-05-2017,"11,4800","11,6000","11,4000"
30-05-2017,"11,6000","11,9700","11,6000"
31-05-2017,"11,8500","11,8500","11,6000"
01-06-2017,"11,9400","11,9400","11,5200"
02-06-2017,"11,6100","11,6900","11,3000"
05-06-2017,"11,4000","11,6900","11,4000"
06-06-2017,"11,4900","11,8900","11,2000"
07-06-2017,"11,8700","11,9600","11,8000"
08-06-2017,"11,9800","12,3000","11,8500"
09-06-2017,"12,1900","12,3000","11,9000"
12-06-2017,"11,9500","11,9500","11,4300"
13-06-2017,"11,4100","11,7000","11,4100"
14-06-2017,"11,6800","11,6800","11,4000"
16-06-2017,"11,4000","11,8700","11,4000"
19-06-2017,"11,4700","11,7900","11,4700"
20-06-2017,"11,7800","11,7900","11,2500"
21-06-2017,"11,5000","11,7800","11,2100"
22-06-2017,"11,7400","11,7400","11,4000"
23-06-2017,"11,6900","11,6900","11,5000"
26-06-2017,"11,5100","11,6900","11,5100"
27-06-2017,"11,5600","12,4000","11,5600"
28-06-2017,"12,1500","12,1900","11,6200"
29-06-2017,"12,1900","12,1900","11,6400"
30-06-2017,"11,6300","11,8000","11,6200"
03-07-2017,"11,6300","11,8800","11,4000"
04-07-2017,"11,4000","11,4000","11,2500"
